method,seed,learn_step,learn_task,eval_task_index,eval_task,n,cpa_n,fde,risk_fde,train_seconds
reservoir,11,7,ZS0,5,EP0,556,106,1.831301212310791,1.7002842426300049,150.10016370000085
reservoir,11,7,ZS0,6,GL,3050,241,2.060593843460083,2.038062572479248,150.10016370000085
reservoir,11,7,ZS0,7,ZS0,1084,2,1.1694244146347046,1.6616246700286863,150.10016370000085
reservoir,23,0,MA,0,MA,1178,126,3.104684829711914,2.707595109939575,74.31901229999494
reservoir,23,1,FT,0,MA,1178,126,2.4204883575439453,2.436091184616089,150.23938119999366
reservoir,23,1,FT,1,FT,2452,138,3.0198895931243896,3.2012650966644287,150.23938119999366
reservoir,23,2,LN,0,MA,1178,126,2.511993169784546,2.3723530769348145,146.52061309997225
reservoir,23,2,LN,1,FT,2452,138,2.7410364151000977,2.9226834774017334,146.52061309997225
reservoir,23,2,LN,2,LN,238,6,1.964933037757873,4.000979900360107,146.52061309997225
reservoir,23,3,ZS2,0,MA,1178,126,2.529749631881714,2.2906501293182373,147.14012479997473
reservoir,23,3,ZS2,1,FT,2452,138,2.7780542373657227,2.8053998947143555,147.14012479997473
reservoir,23,3,ZS2,2,LN,238,6,1.8983873128890991,3.901065826416016,147.14012479997473
reservoir,23,3,ZS2,3,ZS2,1043,276,1.355107665061951,1.3733367919921875,147.14012479997473
reservoir,23,4,OF,0,MA,1178,126,2.374868631362915,2.3057100772857666,146.5452509999741
reservoir,23,4,OF,1,FT,2452,138,2.655752658843994,2.789969682693481,146.5452509999741
reservoir,23,4,OF,2,LN,238,6,1.9275227785110476,3.462881326675415,146.5452509999741
reservoir,23,4,OF,3,ZS2,1043,276,1.3902158737182615,1.315898299217224,146.5452509999741
reservoir,23,4,OF,4,OF,568,28,2.643516540527344,2.312650680541992,146.5452509999741
reservoir,23,5,EP0,0,MA,1178,126,2.5300748348236084,2.398564100265503,143.78189080004813
reservoir,23,5,EP0,1,FT,2452,138,2.5997140407562256,2.673713207244873,143.78189080004813
reservoir,23,5,EP0,2,LN,238,6,2.033554792404175,3.617485284805298,143.78189080004813
reservoir,23,5,EP0,3,ZS2,1043,276,1.3038630485534668,1.198891282081604,143.78189080004813
reservoir,23,5,EP0,4,OF,568,28,3.1255273818969727,3.069057941436768,143.78189080004813
reservoir,23,5,EP0,5,EP0,556,106,1.7592910528182983,1.7666703462600708,143.78189080004813
reservoir,23,6,GL,0,MA,1178,126,2.618091821670532,2.544087648391724,152.11768190003932
reservoir,23,6,GL,1,FT,2452,138,2.530882835388184,2.6729815006256104,152.11768190003932
reservoir,23,6,GL,2,LN,238,6,1.8780765533447263,3.13504409790039,152.11768190003932
reservoir,23,6,GL,3,ZS2,1043,276,1.282905340194702,1.096630334854126,152.11768190003932
reservoir,23,6,GL,4,OF,568,28,3.0984437465667725,2.909343004226685,152.11768190003932
reservoir,23,6,GL,5,EP0,556,106,1.9557600021362305,1.926574468612671,152.11768190003932
reservoir,23,6,GL,6,GL,3050,241,2.11423134803772,2.197115182876587,152.11768190003932
reservoir,23,7,ZS0,0,MA,1178,126,2.6797823905944824,2.633305549621582,147.2890073999879
reservoir,23,7,ZS0,1,FT,2452,138,2.6281192302703857,2.6596360206604004,147.2890073999879
reservoir,23,7,ZS0,2,LN,238,6,2.241377830505371,3.3361294269561768,147.2890073999879
reservoir,23,7,ZS0,3,ZS2,1043,276,1.1754590272903442,1.033856987953186,147.2890073999879
reservoir,23,7,ZS0,4,OF,568,28,3.195368766784668,3.39548134803772,147.2890073999879
reservoir,23,7,ZS0,5,EP0,556,106,1.863495111465454,1.866206169128418,147.2890073999879
reservoir,23,7,ZS0,6,GL,3050,241,2.32816481590271,2.42249608039856,147.2890073999879
reservoir,23,7,ZS0,7,ZS0,1084,2,0.9908292889595032,1.115329027175903,147.2890073999879
reservoir,47,0,MA,0,MA,1178,126,2.802724123001098,2.7466211318969727,68.982225499989
reservoir,47,1,FT,0,MA,1178,126,2.423409938812256,2.3874306678771973,143.0114149999572
reservoir,47,1,FT,1,FT,2452,138,2.480949640274048,2.377173900604248,143.0114149999572
reservoir,47,2,LN,0,MA,1178,126,2.718695640563965,2.374059200286865,141.0115479999804
reservoir,47,2,LN,1,FT,2452,138,2.775205612182617,2.5879604816436768,141.0115479999804
reservoir,47,2,LN,2,LN,238,6,1.7934606075286863,3.752595186233521,141.0115479999804
reservoir,47,3,ZS2,0,MA,1178,126,2.862224578857422,2.3602120876312256,140.3100094999536
reservoir,47,3,ZS2,1,FT,2452,138,2.8743720054626465,2.951337575912476,140.3100094999536
reservoir,47,3,ZS2,2,LN,238,6,2.0410845279693604,4.362971782684326,140.3100094999536
reservoir,47,3,ZS2,3,ZS2,1043,276,1.227352738380432,1.1287683248519895,140.3100094999536
reservoir,47,4,OF,0,MA,1178,126,2.686236619949341,2.532933473587036,140.40227319998667
reservoir,47,4,OF,1,FT,2452,138,2.8655335903167725,2.92297911643982,140.40227319998667
reservoir,47,4,OF,2,LN,238,6,2.048704147338867,3.677161931991577,140.40227319998667
reservoir,47,4,OF,3,ZS2,1043,276,1.5643213987350464,1.2989343404769895,140.40227319998667
reservoir,47,4,OF,4,OF,568,28,2.7423288822174072,2.496206998825073,140.40227319998667
reservoir,47,5,EP0,0,MA,1178,126,2.49320912361145,2.402303457260132,121.86170000000855
reservoir,47,5,EP0,1,FT,2452,138,2.990067481994629,2.7432351112365723,121.86170000000855
reservoir,47,5,EP0,2,LN,238,6,1.9472558498382568,3.571727752685547,121.86170000000855
reservoir,47,5,EP0,3,ZS2,1043,276,1.3430486917495728,1.1742708683013916,121.86170000000855
reservoir,47,5,EP0,4,OF,568,28,2.838059425354004,2.294060230255127,121.86170000000855
reservoir,47,5,EP0,5,EP0,556,106,1.6648802757263184,1.763363242149353,121.86170000000855
reservoir,47,6,GL,0,MA,1178,126,2.540117025375366,2.3216772079467773,111.83966189995408
reservoir,47,6,GL,1,FT,2452,138,2.941091537475586,2.825991153717041,111.83966189995408
reservoir,47,6,GL,2,LN,238,6,2.0503857135772705,3.298972845077514,111.83966189995408
reservoir,47,6,GL,3,ZS2,1043,276,1.3126766681671145,1.2181267738342283,111.83966189995408
reservoir,47,6,GL,4,OF,568,28,3.186138391494751,2.634787082672119,111.83966189995408
reservoir,47,6,GL,5,EP0,556,106,1.833160638809204,1.8064289093017576,111.83966189995408
reservoir,47,6,GL,6,GL,3050,241,1.8826349973678589,1.8479571342468264,111.83966189995408
reservoir,47,7,ZS0,0,MA,1178,126,2.515026569366455,2.4628102779388428,111.12746390001848
reservoir,47,7,ZS0,1,FT,2452,138,3.002798080444336,3.134577989578247,111.12746390001848
reservoir,47,7,ZS0,2,LN,238,6,2.046172857284546,2.882223129272461,111.12746390001848
reservoir,47,7,ZS0,3,ZS2,1043,276,1.302067518234253,1.302703857421875,111.12746390001848
reservoir,47,7,ZS0,4,OF,568,28,3.2447996139526367,2.852909803390503,111.12746390001848
reservoir,47,7,ZS0,5,EP0,556,106,1.9225025177001955,1.8792904615402224,111.12746390001848
reservoir,47,7,ZS0,6,GL,3050,241,1.9934605360031128,1.9239366054534912,111.12746390001848
reservoir,47,7,ZS0,7,ZS0,1084,2,1.0931522846221924,0.7922317981719971,111.12746390001848
gss_adapted,7,0,MA,0,MA,1178,126,2.5815088748931885,2.5621955394744877,112.61481429997366
gss_adapted,7,1,FT,0,MA,1178,126,2.6628706455230717,2.6419942378997803,222.5606822000118
gss_adapted,7,1,FT,1,FT,2452,138,2.658212900161743,2.784075736999512,222.5606822000118
