method,seed,task,historical,n,cpa_n,initial_fde,final_fde,initial_cpa_fde,final_cpa_fde,ordinary_forgetting,cpa_forgetting,gap
cgsm_dual,11,ZS0,False,1084,2,1.1387614011764526,1.1387614011764526,1.9882586002349851,1.9882586002349851,0.0,0.0,0.0
cgsm_dual,23,MA,True,1178,126,3.104684829711914,2.713248014450073,2.707595109939575,2.6477081775665283,-0.39143681526184126,-0.059886932373046875,0.3315498828887944
cgsm_dual,23,FT,True,2452,138,2.767486810684204,2.944487333297729,2.764454126358032,2.763063669204712,0.17700052261352495,-0.0013904571533198684,-0.17839097976684481
cgsm_dual,23,LN,True,238,6,2.0711545944213867,2.305807113647461,3.62765383720398,3.1549947261810303,0.23465251922607422,-0.47265911102294966,-0.7073116302490239
cgsm_dual,23,ZS2,True,1043,276,1.134902000427246,1.548121452331543,1.131789207458496,1.1268230676651,0.4132194519042969,-0.004966139793395996,-0.41818559169769287
cgsm_dual,23,OF,True,568,28,2.67396879196167,3.128143787384033,2.346276998519897,2.337162733078003,0.4541749954223633,-0.009114265441894087,-0.46328926086425737
cgsm_dual,23,EP0,True,556,106,1.6731867790222168,1.792261838912964,1.795433759689331,1.8087389469146729,0.11907505989074729,0.013305187225341797,-0.1057698726654055
cgsm_dual,23,GL,True,3050,241,1.7791800498962402,1.991127014160156,1.7692729234695437,1.9138346910476685,0.2119469642639158,0.14456176757812478,-0.06738519668579102
cgsm_dual,23,ZS0,False,1084,2,0.9975070357322692,0.9975070357322692,1.635324478149414,1.635324478149414,0.0,0.0,0.0
cgsm_dual,47,MA,True,1178,126,2.802724123001098,2.477937698364258,2.7466211318969727,2.5024211406707764,-0.3247864246368404,-0.2441999912261963,0.08058643341064409
cgsm_dual,47,FT,True,2452,138,2.7102692127227783,2.475170850753784,2.5200355052948,2.584038257598877,-0.23509836196899414,0.06400275230407715,0.2991011142730713
cgsm_dual,47,LN,True,238,6,1.7457411289215088,2.1978323459625244,4.105403900146484,3.011042594909668,0.4520912170410156,-1.0943613052368164,-1.546452522277832
cgsm_dual,47,ZS2,True,1043,276,1.1112302541732788,1.6737838983535769,1.0017635822296145,1.1524001359939575,0.5625536441802981,0.15063655376434304,-0.41191709041595503
cgsm_dual,47,OF,True,568,28,2.580479621887207,2.9785289764404297,2.126481771469116,2.418330430984497,0.39804935455322266,0.29184865951538086,-0.1062006950378418
cgsm_dual,47,EP0,True,556,106,1.5994932651519775,2.2334771156311035,1.6611801385879517,2.412257194519043,0.633983850479126,0.7510770559310913,0.11709320545196533
cgsm_dual,47,GL,True,3050,241,2.004246950149536,2.1961958408355717,1.9850932359695437,2.0528664588928223,0.1919488906860356,0.06777322292327859,-0.12417566776275701
cgsm_dual,47,ZS0,False,1084,2,1.0354536771774292,1.0354536771774292,1.455458402633667,1.455458402633667,0.0,0.0,0.0
