method,seed,task,threshold,overall,cpa,matched,cpa_minus_overall,cpa_minus_matched
cgsm_dual,107,baseline,0.5,-0.43614601596444846,-0.662753179319714,-0.5007388092440626,-0.22660716335526554,-0.16201437007565145
cgsm_dual,107,baseline,1.0,-0.43614601596444846,-0.5196074928244179,-0.43767760646066284,-0.08346147685996941,-0.08192988636375503
cgsm_dual,107,baseline,1.5,-0.43614601596444846,-0.4484274260151322,-0.41851556108796084,-0.012281410050683728,-0.02991186492717135
cgsm_dual,107,baseline,2.0,-0.43614601596444846,-0.46443757507291633,-0.42416360999426383,-0.028291559108467867,-0.040273965078652496
dualls_adapted,7,baseline,0.5,-0.6022611609250307,-0.8421991615949554,-0.6870110160204045,-0.23993800066992477,-0.15518814557455096
dualls_adapted,7,baseline,1.0,-0.6022611609250307,-0.6903120002792277,-0.5784559008007656,-0.088050839354197,-0.11185609947846209
dualls_adapted,7,baseline,1.5,-0.6022611609250307,-0.6267128311485534,-0.558956910638694,-0.02445167022352268,-0.06775592050985935
dualls_adapted,7,baseline,2.0,-0.6022611609250307,-0.6645546681704899,-0.5603564651988,-0.062293507245459234,-0.10419820297168991
dualls_adapted,11,baseline,0.5,-0.1728398947864771,-0.30374244640880543,-0.26703261203380146,-0.13090255162232833,-0.03670983437500397
dualls_adapted,11,baseline,1.0,-0.1728398947864771,-0.14356190006520594,-0.13182985982889966,0.029277994721271156,-0.01173204023630628
dualls_adapted,11,baseline,1.5,-0.1728398947864771,-0.0916772840320529,-0.1286245191961922,0.0811626107544242,0.036947235164139294
dualls_adapted,11,baseline,2.0,-0.1728398947864771,-0.12019095527123769,-0.1226903051865078,0.05264893951523941,0.0024993499152701076
dualls_adapted,23,baseline,0.5,-0.3632503941357136,-0.5655536493992547,-0.4876342814190492,-0.2023032552635411,-0.07791936798020549
dualls_adapted,23,baseline,1.0,-0.3632503941357136,-0.41836514857334106,-0.31497361090726317,-0.05511475443762748,-0.10339153766607789
dualls_adapted,23,baseline,1.5,-0.3632503941357136,-0.38229826868543504,-0.30657925831956095,-0.019047874549721455,-0.07571901036587408
dualls_adapted,23,baseline,2.0,-0.3632503941357136,-0.40574972416974386,-0.3061843345817832,-0.04249933003403028,-0.09956538958796068
dualls_adapted,47,baseline,0.5,-0.32600420638918876,-0.020970228938419468,-0.3305097654627483,0.30503397745076927,0.3095395365243288
dualls_adapted,47,baseline,1.0,-0.32600420638918876,-0.09421797404160226,-0.2433012598028942,0.2317862323475865,0.14908328576129193
dualls_adapted,47,baseline,1.5,-0.32600420638918876,-0.1750910943190114,-0.24957282206949638,0.15091311207017735,0.07448172775048498
dualls_adapted,47,baseline,2.0,-0.32600420638918876,-0.27588421876563485,-0.2556766465061777,0.05011998762355391,-0.02020757225945713
dualls_adapted,59,baseline,0.5,-0.15145253072679044,-0.469311825581406,-0.3056938055827085,-0.31785929485461556,-0.16361801999869752
dualls_adapted,59,baseline,1.0,-0.15145253072679044,-0.3715020550883206,-0.16828070526620267,-0.2200495243615302,-0.20322134982211795
dualls_adapted,59,baseline,1.5,-0.15145253072679044,-0.270642834356058,-0.13603161980400574,-0.11919030362926758,-0.13461121455205227
dualls_adapted,59,baseline,2.0,-0.15145253072679044,-0.29934482956531944,-0.12370531889783278,-0.147892298838529,-0.17563951066748668
dualls_adapted,71,baseline,0.5,-0.3161897637695074,-0.7797806492135844,-0.4346594493861713,-0.46359088544407695,-0.34512119982741307
dualls_adapted,71,baseline,1.0,-0.3161897637695074,-0.5493265532855923,-0.32010935347123165,-0.2331367895160849,-0.22921719981436067
dualls_adapted,71,baseline,1.5,-0.3161897637695074,-0.41749757924242553,-0.29837251524651337,-0.10130781547291812,-0.11912506399591216
dualls_adapted,71,baseline,2.0,-0.3161897637695074,-0.41779922511946566,-0.29600847389473356,-0.10160946134995824,-0.1217907512247321
dualls_adapted,89,baseline,0.5,-0.5407560940980911,-1.017039236824435,-0.6146638990071565,-0.47628314272634387,-0.4023753378172785
dualls_adapted,89,baseline,1.0,-0.5407560940980911,-0.8050231129065442,-0.5329500258035347,-0.26426701880845305,-0.2720730871030095
