method,threshold,metric,n_seeds,mean,ci_low,ci_high
dualls_adapted,1.0,cpa_minus_overall,8,0.041117688919076266,0.009478270302779493,0.07678810978997788
dualls_adapted,1.0,cpa_minus_matched,8,0.05383205734704512,0.026577893736471972,0.08548945479642431
dualls_adapted,1.5,overall,8,-0.17543784446185454,-0.2334813180215843,-0.12427370886430142
dualls_adapted,1.5,cpa,8,-0.1640906583189695,-0.23507097401535168,-0.10490576623436396
dualls_adapted,1.5,matched,8,-0.18213098540058645,-0.24357124755485335,-0.12863183040019865
dualls_adapted,1.5,cpa_minus_overall,8,0.011347186142885064,-0.013022617693763847,0.03657542155250523
dualls_adapted,1.5,cpa_minus_matched,8,0.018040327081616972,-0.0019166737426504908,0.03910782783649503
dualls_adapted,2.0,overall,8,-0.17543784446185454,-0.2334813180215843,-0.12427370886430142
dualls_adapted,2.0,cpa,8,-0.19809777749954807,-0.26337473466319794,-0.1435490059233484
dualls_adapted,2.0,matched,8,-0.1820150506689362,-0.24264108999235567,-0.1295011040605945
dualls_adapted,2.0,cpa_minus_overall,8,-0.02265993303769352,-0.03809090324723731,-0.0076957775182499135
dualls_adapted,2.0,cpa_minus_matched,8,-0.016082726830611845,-0.028651066622274367,-0.0035854072177223233
