method,seed,threshold,overall,cpa,matched,cpa_minus_overall,cpa_minus_matched
gss_adapted,47,0.5,-0.17173267953246832,-0.4073857133185127,-0.2236978371175095,-0.23565303378604438,-0.1836878762010032
gss_adapted,47,1.0,-0.17173267953246832,-0.23375800332240596,-0.18898585885530375,-0.062025323789937616,-0.04477214446710219
gss_adapted,47,1.5,-0.17173267953246832,-0.2197962441847121,-0.1842209729324052,-0.048063564652243776,-0.03557527125230689
gss_adapted,47,2.0,-0.17173267953246832,-0.23586683435306624,-0.18828890167775972,-0.0641341548205979,-0.047577932675306515
gss_adapted,59,0.5,-0.24241149455308908,-0.427850563425904,-0.30513429771639883,-0.18543906887281492,-0.12271626570950522
gss_adapted,59,1.0,-0.24241149455308908,-0.23258270119474483,-0.2656804708115566,0.009828793358344304,0.0330977696168118
gss_adapted,59,1.5,-0.24241149455308908,-0.21721043766639286,-0.2606961637810711,0.025201056886696244,0.04348572611467818
gss_adapted,59,2.0,-0.24241149455308908,-0.22271901757580248,-0.2576303939426964,0.019692476977286648,0.034911376366893884
gss_adapted,71,0.5,0.39043616220653055,0.41495693063051664,0.3843611254761055,0.02452076842398614,0.030595805154411182
gss_adapted,71,1.0,0.39043616220653055,0.5382710514184176,0.40449835519487687,0.14783488921188698,0.13377269622354068
gss_adapted,71,1.5,0.39043616220653055,0.4639622983899976,0.3967357404687747,0.073526136183467,0.06722655792122284
gss_adapted,71,2.0,0.39043616220653055,0.42477778633334556,0.3969690548056037,0.034341624126814976,0.027808731527741836
gss_adapted,89,0.5,-0.4334124903589487,-0.46728600575367524,-0.4712696357235792,-0.033873515394726536,0.0039836299699039955
gss_adapted,89,1.0,-0.4334124903589487,-0.40539132359769825,-0.45244950232502584,0.02802116676125042,0.047058178727327545
gss_adapted,89,1.5,-0.4334124903589487,-0.43272920364551765,-0.4494415543740751,0.0006832867134309972,0.016712350728557424
gss_adapted,89,2.0,-0.4334124903589487,-0.45365544287258486,-0.4492442709945572,-0.020242952513636114,-0.004411171878027609
gss_adapted,107,0.5,0.2218976026467979,0.17605314188745042,0.1725814704441984,-0.04584446075934749,0.0034716714432520557
gss_adapted,107,1.0,0.2218976026467979,0.34271332000410926,0.2110222166331852,0.12081571735731136,0.13169110337092407
gss_adapted,107,1.5,0.2218976026467979,0.3157109160014283,0.216427713558664,0.09381331335463036,0.09928320244276426
gss_adapted,107,2.0,0.2218976026467979,0.2994818082862904,0.2176498539797207,0.07758420563949252,0.08183195430656977
reservoir,7,0.5,0.2099404112637043,0.4879432849375055,0.1349561584635832,0.2780028736738013,0.35298712647392233
reservoir,7,1.0,0.2099404112637043,0.35157460509868854,0.16828035911948042,0.14163419383498427,0.18329424597920813
reservoir,7,1.5,0.2099404112637043,0.3440141000998553,0.19246352961187352,0.13407368883615098,0.15155057048798176
reservoir,7,2.0,0.2099404112637043,0.28006654298069256,0.18969402268505062,0.07012613171698827,0.09037252029564194
reservoir,11,0.5,0.45006081741452214,1.6567239864114511,0.47054672295455857,1.206663168996929,1.1861772634568926
reservoir,11,1.0,0.45006081741452214,1.0363089268707104,0.4658400844349674,0.5862481094561882,0.570468842435743
reservoir,11,1.5,0.45006081741452214,0.8220976989887241,0.466474226448533,0.3720368815742019,0.3556234725401911
reservoir,11,2.0,0.45006081741452214,0.6974616038057158,0.4575691074312359,0.24740078639119362,0.23989249637447987
reservoir,23,0.5,-0.17951941275298594,-0.1184551716209555,-0.2683368477785473,0.061064241132030475,0.1498816761575918
reservoir,23,1.0,-0.17951941275298594,-0.16606230990908816,-0.20108261928323481,0.013457102843897834,0.035020309374146665
reservoir,23,1.5,-0.17951941275298594,-0.18581495570789971,-0.19401132916018873,-0.006295542954913763,0.008196373452288994
reservoir,23,2.0,-0.17951941275298594,-0.2164438185949388,-0.19294964426838693,-0.03692440584195285,-0.023494174326551865
reservoir,47,0.5,0.0484853487327695,0.44815752045267193,-0.023735170606965707,0.39967217171990244,0.4718926910596376
reservoir,47,1.0,0.0484853487327695,0.199850989005813,0.002672532710600195,0.1513656402730435,0.19717845629521283
reservoir,47,1.5,0.0484853487327695,0.13463437494895628,0.026700324105320018,0.08614902621618677,0.10793405084363625
reservoir,47,2.0,0.0484853487327695,0.0619159329006007,0.024096572852194166,0.0134305841678312,0.03781936004840654
reservoir,59,0.5,-0.0111079475313425,-0.025256969334653333,-0.09411357111406862,-0.014149021803310857,0.06885660177941529
reservoir,59,1.0,-0.0111079475313425,-0.07889365746552675,-0.05846716024775318,-0.06778570993418426,-0.020426497217773575
reservoir,59,1.5,-0.0111079475313425,-0.04531577509403746,-0.03214395987800449,-0.03420782756269498,-0.013171815216032983
reservoir,59,2.0,-0.0111079475313425,-0.03606402921038141,-0.030927754574481492,-0.02495608167903891,-0.005136274635899912
reservoir,71,0.5,0.8093040937140584,0.9868974175994442,0.7390673825633438,0.17759332388538582,0.2478300350361004
