method,seed,task,stratum_name,stratum_n,overall,stratum,matched,stratum_minus_overall,stratum_minus_matched,cpa_matched,stratum_minus_cpa_matched
reservoir,47,alt180,new_0_3s,90,-0.08971360263973474,0.2898135330941942,-0.0353900868013675,0.37952713573392893,0.32520361989556174,0.2889129414395959,0.0009005916545983261
reservoir,47,alt180,new_3_5s,44,-0.08971360263973474,0.17619809779253873,0.026486536726480783,0.26591170043227347,0.14971156106605793,0.24883561079596755,-0.07263751300342883
reservoir,47,alt180,new_5_10s,102,-0.08971360263973474,-0.17104097090515435,0.08182175690115095,-0.08132736826541961,-0.2528627278063053,0.33548819933523916,-0.5065291702403936
reservoir,47,alt180,no_entry_10s,1198,-0.08971360263973474,-0.2806862005855086,-0.09901676896228222,-0.19097259794577384,-0.18166943162322635,,
reservoir,59,alt180,within_3s,656,-0.554489860728383,-0.427816809041471,-0.5933945192427988,0.126673051686912,0.16557771020132783,,
reservoir,59,alt180,within_5s,700,-0.554489860728383,-0.42702794236796243,-0.5865864968067799,0.1274619183604206,0.15955855443881745,,
reservoir,59,alt180,within_10s,802,-0.554489860728383,-0.44650789968985277,-0.5644878935393871,0.10798196103853025,0.11797999384953434,,
reservoir,59,alt180,ongoing,566,-0.554489860728383,-0.41562250793612043,-0.6119963153220574,0.1388673527922626,0.19637380738593702,-0.4957396851471619,0.08011717721104145
reservoir,59,alt180,new_0_3s,90,-0.554489860728383,-0.5045054137706757,-0.4764098905665714,0.04998444695770732,-0.0280955232041043,-0.28300597670645855,-0.22149943706421715
reservoir,59,alt180,new_3_5s,44,-0.554489860728383,-0.41526665741747076,-0.485085071397044,0.13922320331091226,0.06981841397957322,-0.3226471519352156,-0.09261950548225517
reservoir,59,alt180,new_5_10s,102,-0.554489860728383,-0.5801938813106686,-0.4128308122925739,-0.025704020582285603,-0.16736306901809472,-0.3710162859729171,-0.20917759533775154
reservoir,59,alt180,no_entry_10s,1198,-0.554489860728383,-0.626778285396915,-0.5477966868432199,-0.07228842466853203,-0.07898159855369513,,
reservoir,71,alt180,within_3s,656,0.4816930934935808,0.9092033330987139,0.5465730178584343,0.4275102396051331,0.36263031524027967,,
reservoir,71,alt180,within_5s,700,0.4816930934935808,0.9493010532855988,0.5629302791668914,0.46760795979201797,0.38637077411870735,,
reservoir,71,alt180,within_10s,802,0.4816930934935808,0.9691442622805474,0.5558928288109557,0.4874511687869666,0.4132514334695917,,
reservoir,71,alt180,ongoing,566,0.4816930934935808,0.8856473548252254,0.5199433554043563,0.4039542613316446,0.36570399942086906,0.9409150504763811,-0.055267695651155746
reservoir,71,alt180,new_0_3s,90,0.4816930934935808,1.057344263129764,0.7140440061807481,0.5756511696361832,0.3433002569490159,0.9351491896283523,0.12219507350141179
reservoir,71,alt180,new_3_5s,44,0.4816930934935808,1.5471216087991542,0.8068021750384339,1.0654285153055734,0.7403194337607203,1.2024126139206763,0.34470899487847784
reservoir,71,alt180,new_5_10s,102,0.4816930934935808,1.105323147539999,0.5075966008780655,0.6236300540464181,0.5977265466619335,1.0551588009833897,0.050164346556609285
reservoir,71,alt180,no_entry_10s,1198,0.4816930934935808,0.15536935612534442,0.4320201488153381,-0.3263237373682364,-0.2766507926899937,,
