method,seed,stratum_name,overall,stratum,matched,stratum_minus_overall,stratum_minus_matched,cpa_matched,stratum_minus_cpa_matched
cgsm_dual,11,within_5s,-0.29844335717856885,-0.4768201693302185,-0.3523224263739545,-0.17837681215164966,-0.124497742956264,,
cgsm_dual,23,new_0_3s,-0.1577840863801539,0.1690841614811959,-0.1855051623055823,0.3268682478613498,0.3545893237867782,-0.16936377694730348,0.3384479384284994
cgsm_dual,23,new_3_5s,-0.1577840863801539,0.1405001485023702,-0.15932985888054446,0.2982842348825241,0.29983000738291465,-0.13224446944039325,0.27274461794276345
cgsm_dual,23,new_5_10s,-0.1577840863801539,-0.00022362663101146152,-0.10046821986316361,0.15756045974914243,0.10024459323215215,-0.07323062832803134,0.07300700169701987
cgsm_dual,23,no_entry_10s,-0.1577840863801539,-0.13683542129702428,-0.13281257869332458,0.0209486650831296,-0.004022842603699704,,
cgsm_dual,23,ongoing,-0.1577840863801539,-0.3177659061280183,-0.22106707791713975,-0.1599818197478644,-0.09669882821087852,-0.2341850870166678,-0.08358081911135054
cgsm_dual,23,within_10s,-0.1577840863801539,-0.19808387424692392,-0.19628708296482172,-0.040299787866770034,-0.001796791282102185,,
cgsm_dual,23,within_3s,-0.1577840863801539,-0.25681135649189546,-0.21614333195956167,-0.09902727011174157,-0.04066802453233378,,
cgsm_dual,23,within_5s,-0.1577840863801539,-0.23097854106240373,-0.21242296599257932,-0.07319445468224982,-0.018555575069824394,,
cgsm_dual,47,new_0_3s,-0.32371833509504794,-0.028582974559364947,-0.3142523878257621,0.295135360535683,0.28566941326639717,-0.19098272570341807,0.16239975114405308
cgsm_dual,47,new_3_5s,-0.32371833509504794,-0.07617076647738626,-0.30623403441680813,0.24754756861766172,0.23006326793942183,-0.12042336734953556,0.04425260087214931
cgsm_dual,47,new_5_10s,-0.32371833509504794,-0.027369314820799927,-0.2419362474746042,0.29634902027424803,0.21456693265380428,-0.08502362062205329,0.057654305801253344
cgsm_dual,47,no_entry_10s,-0.32371833509504794,-0.4082167069392158,-0.3234560454863889,-0.08449837184416786,-0.08476066145282693,,
cgsm_dual,47,ongoing,-0.32371833509504794,-0.26942040165759357,-0.34574648759983045,0.05429793343745439,0.0763260859422369,-0.2317626758561083,-0.03765772580148523
cgsm_dual,47,within_10s,-0.32371833509504794,-0.19975506503790372,-0.32502656744095254,0.12396327005714422,0.12527150240304882,,
cgsm_dual,47,within_3s,-0.32371833509504794,-0.23507867874731825,-0.3405688765363851,0.0886396563477297,0.10549019778906685,,
cgsm_dual,47,within_5s,-0.32371833509504794,-0.22559306883388555,-0.3383180523665731,0.09812526626116239,0.11272498353268753,,
cgsm_dual,59,new_0_3s,-0.20999029160588983,-0.028008811480197838,-0.20179317485849974,0.18198148012569196,0.17378436337830191,-0.2261510425927232,0.19814223111252538
cgsm_dual,59,new_3_5s,-0.20999029160588983,-0.06473533895101172,-0.25739865438652076,0.14525495265487806,0.192663315435509,-0.24900495498864195,0.18426961603763026
cgsm_dual,59,new_5_10s,-0.20999029160588983,0.006761544966797831,-0.1739703377012396,0.21675183657268765,0.18073188266803747,-0.14105394034237745,0.1478154853091753
cgsm_dual,59,no_entry_10s,-0.20999029160588983,-0.19840054072320062,-0.19825435527792937,0.011589750882689143,-0.00014618544527128519,,
cgsm_dual,59,ongoing,-0.20999029160588983,-0.31488682990047095,-0.2422179886450425,-0.10489653829458115,-0.0726688412554284,-0.2376731434542517,-0.07721368644621926
cgsm_dual,59,within_10s,-0.20999029160588983,-0.22293398040740584,-0.22962250118260702,-0.01294368880151599,0.006688520775201184,,
cgsm_dual,59,within_3s,-0.20999029160588983,-0.2747046395297423,-0.23741720910641378,-0.06471434792385247,-0.037287430423328466,,
cgsm_dual,59,within_5s,-0.20999029160588983,-0.2601569909663787,-0.23874333190825953,-0.05016669936048888,-0.021413659058119157,,
cgsm_dual,71,new_0_3s,-0.16163586623668671,0.26125908452631413,-0.10120751228632063,0.4228949507630008,0.3624665968126347,-0.05871843823951236,0.31997752276582647
