method,seed,task,initial_tp,initial_fn,initial_fp,initial_tn,initial_fnr,initial_fpr,final_tp,final_fn,final_fp,final_tn,final_fnr,final_fpr,delta_fnr,delta_fpr
reservoir,47,speed10,534,15,15,843,0.0273224043715847,0.017482517482517484,532,17,17,841,0.030965391621129327,0.019813519813519812,0.0036429872495446283,0.0023310023310023284
reservoir,59,baseline,625,12,15,536,0.018838304552590265,0.02722323049001815,623,14,15,536,0.02197802197802198,0.02722323049001815,0.0031397174254317144,0.0
reservoir,59,wind5,641,9,18,435,0.013846153846153847,0.039735099337748346,642,8,17,436,0.012307692307692308,0.037527593818984545,-0.001538461538461539,-0.0022075055187638012
reservoir,59,speed15,525,13,12,787,0.024163568773234202,0.015018773466833541,523,15,12,787,0.027881040892193308,0.015018773466833541,0.003717472118959106,0.0
reservoir,59,alt180,599,6,9,655,0.009917355371900827,0.01355421686746988,599,6,12,652,0.009917355371900827,0.018072289156626505,0.0,0.0045180722891566254
reservoir,59,speed10,532,17,17,841,0.030965391621129327,0.019813519813519812,535,14,15,843,0.025500910746812388,0.017482517482517484,-0.005464480874316939,-0.0023310023310023284
reservoir,71,baseline,625,12,14,537,0.018838304552590265,0.025408348457350273,623,14,14,537,0.02197802197802198,0.025408348457350273,0.0031397174254317144,0.0
reservoir,71,wind5,641,9,18,435,0.013846153846153847,0.039735099337748346,637,13,17,436,0.02,0.037527593818984545,0.006153846153846154,-0.0022075055187638012
reservoir,71,speed15,523,15,12,787,0.027881040892193308,0.015018773466833541,524,14,8,791,0.026022304832713755,0.010012515644555695,-0.001858736059479553,-0.005006257822277847
reservoir,71,alt180,596,9,10,654,0.01487603305785124,0.015060240963855422,596,9,10,654,0.01487603305785124,0.015060240963855422,0.0,0.0
reservoir,71,speed10,533,16,18,840,0.029143897996357013,0.02097902097902098,534,15,20,838,0.0273224043715847,0.023310023310023312,-0.0018214936247723142,0.002331002331002332
reservoir,89,baseline,624,13,15,536,0.02040816326530612,0.02722323049001815,626,11,16,535,0.01726844583987441,0.029038112522686024,-0.003139717425431711,0.0018148820326678756
reservoir,89,wind5,641,9,16,437,0.013846153846153847,0.03532008830022075,640,10,19,434,0.015384615384615385,0.04194260485651214,0.001538461538461539,0.00662251655629139
reservoir,89,speed15,525,13,15,784,0.024163568773234202,0.01877346683354193,524,14,10,789,0.026022304832713755,0.012515644555694618,0.001858736059479553,-0.006257822277847311
reservoir,89,alt180,597,8,12,652,0.013223140495867768,0.018072289156626505,595,10,13,651,0.01652892561983471,0.01957831325301205,0.003305785123966943,0.0015060240963855435
reservoir,89,speed10,535,14,14,844,0.025500910746812388,0.016317016317016316,534,15,17,841,0.0273224043715847,0.019813519813519812,0.0018214936247723107,0.003496503496503496
reservoir,107,baseline,626,11,13,538,0.01726844583987441,0.023593466424682397,624,13,15,536,0.02040816326530612,0.02722323049001815,0.003139717425431711,0.0036297640653357513
reservoir,107,wind5,637,13,18,435,0.02,0.039735099337748346,640,10,17,436,0.015384615384615385,0.037527593818984545,-0.004615384615384615,-0.0022075055187638012
reservoir,107,speed15,526,12,11,788,0.022304832713754646,0.01376720901126408,523,15,9,790,0.027881040892193308,0.011264080100125156,0.005576208178438662,-0.002503128911138925
reservoir,107,alt180,596,9,11,653,0.01487603305785124,0.016566265060240965,598,7,10,654,0.011570247933884297,0.015060240963855422,-0.003305785123966943,-0.0015060240963855435
reservoir,107,speed10,536,13,15,843,0.023679417122040074,0.017482517482517484,535,14,14,844,0.025500910746812388,0.016317016317016316,0.0018214936247723142,-0.0011655011655011677
gss_adapted,7,baseline,626,11,14,537,0.01726844583987441,0.025408348457350273,625,12,13,538,0.018838304552590265,0.023593466424682397,0.0015698587127158554,-0.0018148820326678756
gss_adapted,7,wind5,640,10,19,434,0.015384615384615385,0.04194260485651214,639,11,18,435,0.016923076923076923,0.039735099337748346,0.0015384615384615372,-0.0022075055187637943
gss_adapted,7,speed15,526,12,12,787,0.022304832713754646,0.015018773466833541,525,13,12,787,0.024163568773234202,0.015018773466833541,0.0018587360594795564,0.0
gss_adapted,7,alt180,598,7,13,651,0.011570247933884297,0.01957831325301205,598,7,10,654,0.011570247933884297,0.015060240963855422,0.0,-0.004518072289156627
gss_adapted,7,speed10,533,16,17,841,0.029143897996357013,0.019813519813519812,534,15,18,840,0.0273224043715847,0.02097902097902098,-0.0018214936247723142,0.0011655011655011677
gss_adapted,11,baseline,621,16,12,539,0.02511773940345369,0.021778584392014518,625,12,15,536,0.018838304552590265,0.02722323049001815,-0.006279434850863425,0.00544464609800363
gss_adapted,11,wind5,640,10,17,436,0.015384615384615385,0.037527593818984545,639,11,18,435,0.016923076923076923,0.039735099337748346,0.0015384615384615372,0.0022075055187638012
gss_adapted,11,speed15,526,12,13,786,0.022304832713754646,0.016270337922403004,525,13,11,788,0.024163568773234202,0.01376720901126408,0.0018587360594795564,-0.0025031289111389233
gss_adapted,11,alt180,598,7,11,653,0.011570247933884297,0.016566265060240965,597,8,12,652,0.013223140495867768,0.018072289156626505,0.0016528925619834715,0.00150602409638554
gss_adapted,11,speed10,533,16,14,844,0.029143897996357013,0.016317016317016316,535,14,14,844,0.025500910746812388,0.016317016317016316,-0.003642987249544625,0.0
gss_adapted,23,baseline,625,12,13,538,0.018838304552590265,0.023593466424682397,624,13,15,536,0.02040816326530612,0.02722323049001815,0.0015698587127158554,0.0036297640653357513
gss_adapted,23,wind5,640,10,17,436,0.015384615384615385,0.037527593818984545,640,10,18,435,0.015384615384615385,0.039735099337748346,0.0,0.0022075055187638012
