method,seed,task,n,cpa_n,overall,cpa,initial_overall_fde,initial_cpa_fde,random,cpa_minus_random,permutation_p_random,matched,cpa_minus_matched,permutation_p_matched,cpa_minus_overall
gss_adapted,11,wind5,2000,986,-0.48963032257556915,-0.8572205458040412,12.297555524244904,12.094264114785629,-0.4949586113794569,-0.36226193442458426,0.000999000999000999,-0.562474393327541,-0.29474615247650016,0.000999000999000999,-0.367590223228472
gss_adapted,11,speed15,2000,702,-0.2149073474854231,-0.14072728539124513,9.61543288578093,10.239116559213722,-0.2223134936473428,0.08158620825609766,0.25774225774225773,-0.28754857332391376,0.14682128793266863,0.03796203796203796,0.07418006209417796
gss_adapted,11,alt180,2000,802,-0.703338936522603,-0.16135542254495502,11.897876868367195,11.543816850592668,-0.7100086212468713,0.5486531987019162,0.000999000999000999,-0.6803298225005919,0.5189743999556369,0.000999000999000999,0.541983513977648
gss_adapted,11,speed10,2000,674,0.2275677957162261,0.3655004318283998,8.683582302570343,8.60880133783782,0.22997940753652527,0.13552102429187454,0.002997002997002997,0.22253435039834896,0.14296608143005085,0.000999000999000999,0.1379326361121737
gss_adapted,23,baseline,2000,887,-0.8699116237610579,-1.0023949811867152,12.94613571678102,12.342026013397982,-0.8826959375389875,-0.11969904364772777,0.17182817182817184,-0.8855962277225213,-0.11679875346419388,0.14285714285714285,-0.1324833574256573
gss_adapted,23,wind5,2000,986,-0.18811456712335348,-0.3552362725712948,11.735033274501562,11.327777832141996,-0.19484559124848705,-0.16039068132280776,0.000999000999000999,-0.20675729725495798,-0.14847897531633683,0.000999000999000999,-0.16712170544794133
gss_adapted,23,speed15,2000,702,-0.031104460403323174,-0.26916890224160633,9.523365256235003,10.12066632797915,-0.050829339756469395,-0.21833956248513695,0.000999000999000999,-0.10512042618415021,-0.16404847605745612,0.004995004995004995,-0.23806444183828315
gss_adapted,23,alt180,2000,802,-0.7595686216540635,-0.4606164608735991,11.84452302312851,11.615575446526606,-0.7788147439320124,0.31819828305841336,0.01098901098901099,-0.7732524157512022,0.3126359548776031,0.013986013986013986,0.2989521607804644
gss_adapted,23,speed10,2000,674,0.044675609722733496,0.013335554200039419,8.447353043355047,8.500621177941472,0.04713135273368292,-0.033795798533643506,0.31368631368631367,0.03673354842728717,-0.02339799422724775,0.5434565434565435,-0.031340055522694074
gss_adapted,47,baseline,2000,887,-0.17196655586361886,-0.17244542834455023,12.640376070201397,12.007850820141957,-0.16207820466976885,-0.010367223674781378,0.8961038961038961,-0.13271949632374133,-0.0397259320208089,0.5664335664335665,-0.00047887248093136936
gss_adapted,47,wind5,2000,986,0.243486443862319,0.02177252492000317,11.835462914928794,11.40508587005535,0.23659139405899013,-0.21481886913898696,0.000999000999000999,0.22739795252808567,-0.2056254276080825,0.001998001998001998,-0.22171391894231582
gss_adapted,47,speed15,2000,702,-0.4662157116159797,-0.6826363531952231,9.747427749142052,10.454787170827558,-0.49584341433897955,-0.18679293885624354,0.004995004995004995,-0.556426238424678,-0.1262101147705451,0.03596403596403597,-0.2164206415792434
gss_adapted,47,alt180,2000,802,-0.6020531762689352,-0.20906441545397267,11.801255333855748,11.58621583336458,-0.6031524402480599,0.3940880247940872,0.000999000999000999,-0.6139988927978605,0.40493447734388777,0.000999000999000999,0.3929887608149625
gss_adapted,47,speed10,2000,674,0.13808560222387314,-0.12641634453828682,8.678002296745777,8.939871572997166,0.13175427504975604,-0.2581706195880429,0.000999000999000999,0.13081738074167537,-0.2572337252799622,0.000999000999000999,-0.26450194676216
gss_adapted,59,baseline,2000,887,0.28245933935046197,0.2663583322401918,12.427564240589739,11.804718591886013,0.25406923134813403,0.012289100892057758,0.9310689310689311,0.29348044708768706,-0.02712211484749527,0.8331668331668332,-0.016101007110270182
gss_adapted,59,wind5,2000,986,-0.254655789270997,-0.40517110442534904,12.08039371150732,11.710860781688961,-0.25780736421523054,-0.1473637402101185,0.007992007992007992,-0.2696883145450015,-0.13548278988034756,0.02197802197802198,-0.15051531515435201
gss_adapted,59,speed15,2000,702,-0.1859538216367364,-0.47976122775308766,9.557643500097097,10.317177704766266,-0.2033137749416798,-0.27644745281140787,0.000999000999000999,-0.2807367882115674,-0.19902443954152027,0.000999000999000999,-0.29380740611635126
