method,seed,task,initial_tp,initial_fn,initial_fp,initial_tn,initial_fnr,initial_fpr,final_tp,final_fn,final_fp,final_tn,final_fnr,final_fpr,delta_fnr,delta_fpr
gss_adapted,11,alt180,133,7,10,627,0.05,0.015698587127158554,133,7,10,627,0.05,0.015698587127158554,0.0,0.0
gss_adapted,11,speed10,108,16,12,828,0.12903225806451613,0.014285714285714285,110,14,11,829,0.11290322580645161,0.013095238095238096,-0.016129032258064516,-0.0011904761904761897
gss_adapted,23,baseline,153,10,13,514,0.06134969325153374,0.024667931688804556,152,11,13,514,0.06748466257668712,0.024667931688804556,0.0061349693251533735,0.0
gss_adapted,23,wind5,108,6,17,406,0.05263157894736842,0.04018912529550828,106,8,17,406,0.07017543859649122,0.04018912529550828,0.017543859649122806,0.0
gss_adapted,23,speed15,116,12,11,771,0.09375,0.014066496163682864,116,12,11,771,0.09375,0.014066496163682864,0.0,0.0
gss_adapted,23,alt180,131,9,10,627,0.06428571428571428,0.015698587127158554,132,8,9,628,0.05714285714285714,0.0141287284144427,-0.007142857142857138,-0.0015698587127158537
gss_adapted,23,speed10,111,13,14,826,0.10483870967741936,0.016666666666666666,109,15,13,827,0.12096774193548387,0.015476190476190477,0.016129032258064516,-0.0011904761904761897
gss_adapted,47,baseline,154,9,15,512,0.05521472392638037,0.028462998102466792,155,8,15,512,0.049079754601226995,0.028462998102466792,-0.0061349693251533735,0.0
gss_adapted,47,wind5,106,8,18,405,0.07017543859649122,0.0425531914893617,106,8,16,407,0.07017543859649122,0.037825059101654845,0.0,-0.004728132387706856
gss_adapted,47,speed15,117,11,12,770,0.0859375,0.015345268542199489,116,12,11,771,0.09375,0.014066496163682864,0.0078125,-0.0012787723785166252
gss_adapted,47,alt180,133,7,10,627,0.05,0.015698587127158554,134,6,9,628,0.04285714285714286,0.0141287284144427,-0.007142857142857145,-0.0015698587127158537
gss_adapted,47,speed10,108,16,16,824,0.12903225806451613,0.01904761904761905,110,14,17,823,0.11290322580645161,0.02023809523809524,-0.016129032258064516,0.0011904761904761897
gss_adapted,59,baseline,153,10,14,513,0.06134969325153374,0.026565464895635674,151,12,15,512,0.0736196319018405,0.028462998102466792,0.012269938650306754,0.001897533206831118
gss_adapted,59,wind5,107,7,19,404,0.06140350877192982,0.04491725768321513,107,7,17,406,0.06140350877192982,0.04018912529550828,0.0,-0.004728132387706856
gss_adapted,59,speed15,117,11,12,770,0.0859375,0.015345268542199489,115,13,9,773,0.1015625,0.011508951406649617,0.015625,-0.0038363171355498722
gss_adapted,59,alt180,134,6,8,629,0.04285714285714286,0.012558869701726845,133,7,10,627,0.05,0.015698587127158554,0.007142857142857145,0.003139717425431709
gss_adapted,59,speed10,109,15,13,827,0.12096774193548387,0.015476190476190477,108,16,13,827,0.12903225806451613,0.015476190476190477,0.008064516129032251,0.0
gss_adapted,71,baseline,152,11,12,515,0.06748466257668712,0.022770398481973434,151,12,11,516,0.0736196319018405,0.020872865275142316,0.0061349693251533804,-0.001897533206831118
gss_adapted,71,wind5,106,8,18,405,0.07017543859649122,0.0425531914893617,104,10,17,406,0.08771929824561403,0.04018912529550828,0.017543859649122806,-0.0023640661938534244
gss_adapted,71,speed15,116,12,12,770,0.09375,0.015345268542199489,116,12,11,771,0.09375,0.014066496163682864,0.0,-0.0012787723785166252
gss_adapted,71,alt180,133,7,11,626,0.05,0.01726844583987441,132,8,9,628,0.05714285714285714,0.0141287284144427,0.007142857142857138,-0.003139717425431709
gss_adapted,71,speed10,109,15,16,824,0.12096774193548387,0.01904761904761905,108,16,19,821,0.12903225806451613,0.02261904761904762,0.008064516129032251,0.003571428571428569
